INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"2018-053B","43509","ROCKET BODY","FREGAT R/B","CIS","2018-06-16","PKMTR","","688.28","64.88","19677","19212","","","0","","6595","2018","53","B","Y","FREGAT R/B","2018-053B","43509"
"2018-053A","43508","PAYLOAD","COSMOS 2527 (GLONASS)","CIS","2018-06-16","PKMTR","","676.04","64.83","19155","19120","","","0","","6594","2018","53","A","Y","COSMOS 2527 (GLONASS)","2018-053A","43508"
